id,id_index,kode_provinsi,nama_provinsi,periode_update,cara_keluar,kategori,jumlah,satuan,tahun
35,104,35,JAWA TIMUR,2018-06,PULANG PAKSA,RUJUKAN,0,PASIEN,2018
35,105,35,JAWA TIMUR,2018-06,PULANG PAKSA,TOTAL,0,PASIEN,2018
36,106,35,JAWA TIMUR,2018-06,DIRAWAT,NON RUJUKAN,836,PASIEN,2018
36,107,35,JAWA TIMUR,2018-06,DIRAWAT,RUJUKAN,770,PASIEN,2018
36,108,35,JAWA TIMUR,2018-06,DIRAWAT,TOTAL,1606,PASIEN,2018
37,109,35,JAWA TIMUR,2018-07,MENINGGAL,NON RUJUKAN,27,PASIEN,2018
37,110,35,JAWA TIMUR,2018-07,MENINGGAL,RUJUKAN,31,PASIEN,2018
37,111,35,JAWA TIMUR,2018-07,MENINGGAL,TOTAL,58,PASIEN,2018
38,112,35,JAWA TIMUR,2018-07,DIRUJUK,NON RUJUKAN,0,PASIEN,2018
38,113,35,JAWA TIMUR,2018-07,DIRUJUK,RUJUKAN,0,PASIEN,2018
38,114,35,JAWA TIMUR,2018-07,DIRUJUK,TOTAL,0,PASIEN,2018
39,115,35,JAWA TIMUR,2018-07,PULANG PAKSA,NON RUJUKAN,56,PASIEN,2018
39,116,35,JAWA TIMUR,2018-07,PULANG PAKSA,RUJUKAN,22,PASIEN,2018
39,117,35,JAWA TIMUR,2018-07,PULANG PAKSA,TOTAL,78,PASIEN,2018
40,118,35,JAWA TIMUR,2018-07,PULANG,NON RUJUKAN,581,PASIEN,2018
40,119,35,JAWA TIMUR,2018-07,PULANG,RUJUKAN,81,PASIEN,2018
40,120,35,JAWA TIMUR,2018-07,PULANG,TOTAL,662,PASIEN,2018
41,121,35,JAWA TIMUR,2018-07,PULANG PAKSA,NON RUJUKAN,0,PASIEN,2018
41,122,35,JAWA TIMUR,2018-07,PULANG PAKSA,RUJUKAN,0,PASIEN,2018
41,123,35,JAWA TIMUR,2018-07,PULANG PAKSA,TOTAL,0,PASIEN,2018
42,124,35,JAWA TIMUR,2018-07,DIRAWAT,NON RUJUKAN,797,PASIEN,2018
42,125,35,JAWA TIMUR,2018-07,DIRAWAT,RUJUKAN,899,PASIEN,2018
42,126,35,JAWA TIMUR,2018-07,DIRAWAT,TOTAL,1696,PASIEN,2018
43,127,35,JAWA TIMUR,2018-08,MENINGGAL,NON RUJUKAN,30,PASIEN,2018
43,128,35,JAWA TIMUR,2018-08,MENINGGAL,RUJUKAN,25,PASIEN,2018
43,129,35,JAWA TIMUR,2018-08,MENINGGAL,TOTAL,55,PASIEN,2018
44,130,35,JAWA TIMUR,2018-08,DIRUJUK,NON RUJUKAN,0,PASIEN,2018
44,131,35,JAWA TIMUR,2018-08,DIRUJUK,RUJUKAN,1,PASIEN,2018
44,132,35,JAWA TIMUR,2018-08,DIRUJUK,TOTAL,1,PASIEN,2018
45,133,35,JAWA TIMUR,2018-08,PULANG PAKSA,NON RUJUKAN,53,PASIEN,2018
45,134,35,JAWA TIMUR,2018-08,PULANG PAKSA,RUJUKAN,27,PASIEN,2018
45,135,35,JAWA TIMUR,2018-08,PULANG PAKSA,TOTAL,80,PASIEN,2018
46,136,35,JAWA TIMUR,2018-08,PULANG,NON RUJUKAN,562,PASIEN,2018
46,137,35,JAWA TIMUR,2018-08,PULANG,RUJUKAN,81,PASIEN,2018
